# Square Foot,Year Built,Price
100.00,1961.00,22.66
139.39,1961.00,83.92
178.79,1961.00,121.40
218.18,1961.00,81.81
257.58,1961.00,239.04
296.97,1961.00,217.59
336.36,1961.00,279.36
375.76,1961.00,221.58
415.15,1961.00,321.69
454.55,1961.00,394.47
493.94,1961.00,262.53
533.33,1961.00,285.45
572.73,1961.00,320.57
612.12,1961.00,319.64
651.52,1961.00,396.44
690.91,1961.00,428.25
730.30,1961.00,402.24
769.70,1961.00,459.73
809.09,1961.00,379.46
848.48,1961.00,405.09
887.88,1961.00,466.57
927.27,1961.00,444.13
966.67,1961.00,373.78
1006.06,1961.00,521.31
1045.45,1961.00,507.89
1084.85,1961.00,517.47
1124.24,1961.00,455.84
1163.64,1961.00,521.90
1203.03,1961.00,554.90
1242.42,1961.00,576.51
1281.82,1961.00,488.05
1321.21,1961.00,546.75
1360.61,1961.00,530.14
1400.00,1961.00,569.43
1439.39,1961.00,594.39
1478.79,1961.00,651.33
1518.18,1961.00,562.72
1557.58,1961.00,557.49
1596.97,1961.00,565.77
1636.36,1961.00,656.18
1675.76,1961.00,599.08
1715.15,1961.00,659.05
1754.55,1961.00,543.04
1793.94,1961.00,692.36
1833.33,1961.00,640.85
1872.73,1961.00,617.30
1912.12,1961.00,638.35
1951.52,1961.00,636.25
1990.91,1961.00,703.39
2030.30,1961.00,698.36
2069.70,1961.00,669.87
2109.09,1961.00,836.14
2148.48,1961.00,725.79
2187.88,1961.00,640.76
2227.27,1961.00,670.44
2266.67,1961.00,718.79
2306.06,1961.00,793.99
2345.45,1961.00,757.82
2384.85,1961.00,778.47
2424.24,1961.00,660.07
2463.64,1961.00,711.80
2503.03,1961.00,816.41
2542.42,1961.00,778.11
2581.82,1961.00,739.47
2621.21,1961.00,696.09
2660.61,1961.00,778.96
2700.00,1961.00,842.64
2739.39,1961.00,774.64
2778.79,1961.00,765.16
2818.18,1961.00,801.15
2857.58,1961.00,767.39
2896.97,1961.00,838.60
2936.36,1961.00,751.31
2975.76,1961.00,773.47
3015.15,1961.00,838.73
3054.55,1961.00,796.12
3093.94,1961.00,940.82
3133.33,1961.00,871.44
3172.73,1961.00,967.92
3212.12,1961.00,751.66
3251.52,1961.00,895.34
3290.91,1961.00,835.19
3330.30,1961.00,812.84
3369.70,1961.00,874.75
3409.09,1961.00,851.00
3448.48,1961.00,827.88
3487.88,1961.00,872.83
3527.27,1961.00,922.77
3566.67,1961.00,915.35
3606.06,1961.00,897.57
3645.45,1961.00,888.78
3684.85,1961.00,1014.87
3724.24,1961.00,914.89
3763.64,1961.00,947.17
3803.03,1961.00,862.68
3842.42,1961.00,991.78
3881.82,1961.00,968.20
3921.21,1961.00,954.12
3960.61,1961.00,963.80
4000.00,1961.00,1001.88
100.00,1963.00,37.20
139.39,1963.00,125.36
178.79,1963.00,122.64
218.18,1963.00,177.64
257.58,1963.00,215.64
296.97,1963.00,268.99
336.36,1963.00,300.04
375.76,1963.00,366.23
415.15,1963.00,237.79
454.55,1963.00,234.94
493.94,1963.00,259.38
533.33,1963.00,301.00
572.73,1963.00,285.28
612.12,1963.00,346.33
651.52,1963.00,336.61
690.91,1963.00,484.10
730.30,1963.00,300.63
769.70,1963.00,356.27
809.09,1963.00,351.71
848.48,1963.00,433.70
887.88,1963.00,430.13
927.27,1963.00,460.12
966.67,1963.00,565.73
1006.06,1963.00,401.50
1045.45,1963.00,471.43
1084.85,1963.00,458.13
1124.24,1963.00,509.64
1163.64,1963.00,543.21
1203.03,1963.00,552.48
1242.42,1963.00,477.16
1281.82,1963.00,475.86
1321.21,1963.00,629.78
1360.61,1963.00,543.82
1400.00,1963.00,611.75
1439.39,1963.00,571.74
1478.79,1963.00,487.94
1518.18,1963.00,510.34
1557.58,1963.00,525.04
1596.97,1963.00,582.99
1636.36,1963.00,563.95
1675.76,1963.00,652.00
1715.15,1963.00,637.75
1754.55,1963.00,610.28
1793.94,1963.00,622.28
1833.33,1963.00,611.31
1872.73,1963.00,619.77
1912.12,1963.00,679.48
1951.52,1963.00,758.05
1990.91,1963.00,607.58
2030.30,1963.00,669.21
2069.70,1963.00,672.16
2109.09,1963.00,709.36
2148.48,1963.00,704.99
2187.88,1963.00,693.82
2227.27,1963.00,749.52
2266.67,1963.00,769.49
2306.06,1963.00,745.60
2345.45,1963.00,748.49
2384.85,1963.00,783.19
2424.24,1963.00,754.20
2463.64,1963.00,807.57
2503.03,1963.00,752.99
2542.42,1963.00,675.64
2581.82,1963.00,716.98
2621.21,1963.00,888.70
2660.61,1963.00,653.88
2700.00,1963.00,770.10
2739.39,1963.00,735.93
2778.79,1963.00,790.75
2818.18,1963.00,782.63
2857.58,1963.00,764.63
2896.97,1963.00,792.56
2936.36,1963.00,855.75
2975.76,1963.00,784.79
3015.15,1963.00,799.70
3054.55,1963.00,871.19
3093.94,1963.00,802.98
3133.33,1963.00,831.73
3172.73,1963.00,786.79
3212.12,1963.00,875.06
3251.52,1963.00,771.38
3290.91,1963.00,882.84
3330.30,1963.00,902.54
3369.70,1963.00,973.35
3409.09,1963.00,834.77
3448.48,1963.00,897.50
3487.88,1963.00,907.51
3527.27,1963.00,883.35
3566.67,1963.00,890.75
3606.06,1963.00,962.66
3645.45,1963.00,885.62
3684.85,1963.00,920.58
3724.24,1963.00,889.13
3763.64,1963.00,904.80
3803.03,1963.00,963.49
3842.42,1963.00,940.49
3881.82,1963.00,906.70
3921.21,1963.00,897.36
3960.61,1963.00,896.01
4000.00,1963.00,959.78
100.00,1963.00,64.62
139.39,1963.00,131.41
178.79,1963.00,196.90
218.18,1963.00,169.69
257.58,1963.00,178.43
296.97,1963.00,184.05
336.36,1963.00,238.70
375.76,1963.00,298.25
415.15,1963.00,287.97
454.55,1963.00,310.90
493.94,1963.00,338.29
533.33,1963.00,292.78
572.73,1963.00,317.25
612.12,1963.00,323.95
651.52,1963.00,328.18
690.91,1963.00,400.92
730.30,1963.00,412.13
769.70,1963.00,533.10
809.09,1963.00,381.36
848.48,1963.00,371.56
887.88,1963.00,449.99
927.27,1963.00,492.87
966.67,1963.00,450.13
1006.06,1963.00,514.28
1045.45,1963.00,495.29
1084.85,1963.00,442.47
1124.24,1963.00,569.57
1163.64,1963.00,580.93
1203.03,1963.00,562.34
1242.42,1963.00,529.88
1281.82,1963.00,514.06
1321.21,1963.00,513.10
1360.61,1963.00,550.57
1400.00,1963.00,521.44
1439.39,1963.00,521.24
1478.79,1963.00,587.76
1518.18,1963.00,593.04
1557.58,1963.00,578.21
1596.97,1963.00,685.60
1636.36,1963.00,650.09
1675.76,1963.00,732.94
1715.15,1963.00,682.59
1754.55,1963.00,677.78
1793.94,1963.00,550.19
1833.33,1963.00,701.68
1872.73,1963.00,657.85
1912.12,1963.00,711.63
1951.52,1963.00,534.66
1990.91,1963.00,721.28
2030.30,1963.00,685.08
2069.70,1963.00,677.22
2109.09,1963.00,764.50
2148.48,1963.00,756.71
2187.88,1963.00,662.74
2227.27,1963.00,679.26
2266.67,1963.00,700.53
2306.06,1963.00,684.32
2345.45,1963.00,737.38
2384.85,1963.00,769.29
2424.24,1963.00,755.20
2463.64,1963.00,801.79
2503.03,1963.00,719.79
2542.42,1963.00,746.50
2581.82,1963.00,657.14
2621.21,1963.00,774.51
2660.61,1963.00,844.61
2700.00,1963.00,768.83
2739.39,1963.00,820.98
2778.79,1963.00,746.96
2818.18,1963.00,841.16
2857.58,1963.00,764.95
2896.97,1963.00,780.94
2936.36,1963.00,802.63
2975.76,1963.00,835.43
3015.15,1963.00,842.82
3054.55,1963.00,859.68
3093.94,1963.00,823.48
3133.33,1963.00,782.98
3172.73,1963.00,863.44
3212.12,1963.00,950.20
3251.52,1963.00,914.93
3290.91,1963.00,817.12
3330.30,1963.00,807.43
3369.70,1963.00,912.40
3409.09,1963.00,933.65
3448.48,1963.00,811.22
3487.88,1963.00,865.37
3527.27,1963.00,846.48
3566.67,1963.00,838.95
3606.06,1963.00,954.17
3645.45,1963.00,884.87
3684.85,1963.00,900.06
3724.24,1963.00,890.31
3763.64,1963.00,1010.07
3803.03,1963.00,961.95
3842.42,1963.00,878.61
3881.82,1963.00,986.44
3921.21,1963.00,942.13
3960.61,1963.00,959.13
4000.00,1963.00,889.32
100.00,1963.00,10.00
